Line 16: Cannot load control PushButton1; license not found.
Line 29: Cannot load control gLOGO; license not found.
Line 50: Cannot load control gMisc; license not found.
Line 63: Cannot load control gClone; license not found.
Line 75: Cannot load control cmd_choose2; license not found.
Line 88: Cannot load control txtClone; license not found.
Line 100: Cannot load control cmdClone; license not found.
Line 109: Cannot load control gCrypt; license not found.
Line 121: Cannot load control cmd_finish; license not found.
Line 134: Cannot load control cmd_choose1; license not found.
Line 147: Cannot load control txtFile; license not found.
Line 162: Cannot load control cEof; license not found.
Line 175: Cannot load control cmdCypt; license not found.
Line 184: Cannot load control PushButton3; license not found.
Line 197: Cannot load control cmd_misc; license not found.
Line 211: Cannot load control cmd_clone; license not found.
Line 225: Cannot load control cmd_crypt; license not found.
Line 238: Cannot load control txtShouts; license not found.
Line 264: Cannot load control txtCredits; license not found.
Line 297: Cannot load control Label2; license not found.
Line 309: Cannot load control Label1; license not found.
